row_id,platform,split,source_index,live_id,species,content,label,official_background,all_sequence_index,context_json
douyin-train-000007,douyin,train,7,56697889278,生活日杂,鲜花饼还有么,1,该用户想询问直播间是否还有鲜花饼库存可供购买。,12,"[""安吉白茶什么时候有"", ""锅什么时候有"", ""什么时候还有铁锅"", ""风干牛肉干"", ""白白吉馍在几号链接""]"
douyin-train-000011,douyin,train,11,56697889278,生活日杂,教一下用券,0,该用户想表达的含义是：希望主播讲解如何使用优惠券来购买商品。,16,"[""白白吉馍在几号链接"", ""鲜花饼还有么"", ""有人参果吗"", ""婴儿能吃吗请问请问小婴儿能吃吗？"", ""百合有吗""]"
douyin-train-000013,douyin,train,13,56697889278,生活日杂,家电什么时候返厂,1,该用户是在询问之前出现过的某款家电产品何时会再次上架销售。,22,"[""辅食机"", ""铁锅什么时候有"", ""想要擀面皮"", ""要陕西的擀面皮"", ""再加中段""]"
douyin-train-000020,douyin,train,20,56697889278,生活日杂,大气,0,该用户可能在夸赞主播或商品的风格高端、有档次。,29,"[""有带蘸料吗？"", ""感觉好好吃"", ""家电什么时候返场"", ""下一站去哪？"", ""防晒喷雾上点，防晒喷雾上点，防晒喷雾上点""]"
douyin-train-000064,douyin,train,64,56697889278,生活日杂,云南行结束了吗,0,该用户可能在询问直播中提到的云南特产或相关活动是否已经结束，表现出对云南产品的兴趣或遗憾错过的心情。,100,"[""越来越好"", ""牛肉干有吗"", ""保温杯什么时候上"", ""看看我 看看我"", ""我要儿童钙镁锌，熙宝！""]"
douyin-train-000079,douyin,train,79,56697889278,生活日杂,先泡还是先蒸容易炖烂吗,1,该用户是在询问烹饪某种食材（可能是鱼或肉类）时，采用先浸泡还是先蒸制的处理方式更容易使其炖煮软烂。,122,"[""与辉同行一路光明"", ""得利斯的肉肠什么时候还会有呀？"", ""产品问题请跟与辉同行的客服联系"", ""开袋即食可以吗亲？"", ""鲅鱼馅是开好价了吗""]"
douyin-train-000088,douyin,train,88,56697889278,生活日杂,中午好！,0,该用户可能是刚进入直播间，以问候的方式表示关注或参与互动。,133,"[""焯水吗"", ""产品有问题请先找商家售后，如果商家解决达不到您满意。可以再找与辉同行客服！"", ""可以放多久"", ""帅哥"", ""有没有蓝莓树苗""]"
douyin-train-000095,douyin,train,95,56697889278,生活日杂,没吃过,0,该用户可能是对当前介绍的产品感到陌生或好奇，想表达自己缺乏相关体验但有兴趣了解。,145,"[""传熙非常优秀"", ""上午好，棒棒哒"", ""里面有肉吗？素食者"", ""蒲公英"", ""海带苗吃着很方便""]"
douyin-train-000100,douyin,train,100,56697889278,生活日杂,你们辛苦了,0,该用户是在对主播团队的付出表示友善的慰问和鼓励。,150,"[""没吃过"", ""说的好详细"", ""中午好"", ""喜欢这个直播间"", ""宇辉同行一路光明""]"
douyin-train-000111,douyin,train,111,56697889278,生活日杂,什么馅的,1,该用户是在询问直播中展示的水饺具体有哪些馅料种类。,164,"[""传熙云南行唱了彩云之南"", ""这个馅不多见"", ""不是一袋十个吗"", ""一袋10个，一共40个"", ""一袋10 个不是40 个""]"
