row_id,platform,split,source_index,live_id,species,content,label,official_background,all_sequence_index,context_json
douyin-train-000020,douyin,train,20,56697889278,生活日杂,大气,0,该用户可能在夸赞主播或商品的风格高端、有档次。,29,"[""有带蘸料吗？"", ""感觉好好吃"", ""家电什么时候返场"", ""下一站去哪？"", ""防晒喷雾上点，防晒喷雾上点，防晒喷雾上点""]"
douyin-train-000088,douyin,train,88,56697889278,生活日杂,中午好！,0,该用户可能是刚进入直播间，以问候的方式表示关注或参与互动。,133,"[""焯水吗"", ""产品有问题请先找商家售后，如果商家解决达不到您满意。可以再找与辉同行客服！"", ""可以放多久"", ""帅哥"", ""有没有蓝莓树苗""]"
douyin-train-000111,douyin,train,111,56697889278,生活日杂,什么馅的,1,该用户是在询问直播中展示的水饺具体有哪些馅料种类。,164,"[""传熙云南行唱了彩云之南"", ""这个馅不多见"", ""不是一袋十个吗"", ""一袋10个，一共40个"", ""一袋10 个不是40 个""]"
douyin-train-000147,douyin,train,147,56697889278,生活日杂,跟你哥发型一样,0,该用户可能在表达对主播当前发型的认可，暗示与某个熟悉的人（如主播的哥哥）相似，从而传递一种亲切感或赞赏。,212,"[""熙宝今天发型很乖"", ""传熙太可爱了"", ""防晒喷雾，防晒喷雾，防晒喷雾"", ""我就是"", ""乘宝贝""]"
douyin-train-000222,douyin,train,222,56697889278,生活日杂,苹果烤奶的杯子在几号？,1,该用户想询问苹果烤奶配套的杯子商品在直播间的上架序号或购买链接位置。,318,"[""苹果烤奶有成品吗？"", ""贝贝，烤奶，空气炸锅烤多长时间？"", ""折耳根好吃的很呀"", ""这个苹果好吃"", ""折耳根太好吃""]"
douyin-train-000264,douyin,train,264,56697889278,生活日杂,内蒙古怎么不发,1,该用户可能在询问为何没有内蒙古地区的商品或物流配送选项。,371,"[""小果多大"", ""我也是湖北咸宁赤壁人"", ""小米是那种黄金小米吗？"", ""苹果没有了吗？"", ""中果没有了""]"
douyin-train-000274,douyin,train,274,56697889278,生活日杂,看看衣服后面,1,该用户想表达的含义是：希望主播展示一下衣服的背面细节。,381,"[""鲜花还有吗"", ""买了中果"", ""小果是哪个？"", ""大连拍不了"", ""没了""]"
douyin-train-000306,douyin,train,306,56697889278,生活日杂,看一下小果,1,该用户想表达的含义是：请主播展示或详细介绍小规格的苹果产品。,427,"[""主播看一下烤奶，刚民吃的那个？"", ""没货"", ""中午好贝贝"", ""发什么快递"", ""小果也甜""]"
douyin-train-000377,douyin,train,377,56697889278,生活日杂,上一下核桃,1,该用户希望主播尽快上架或展示核桃商品以供购买。,526,"[""看一下衬衫"", ""我家猫也爱吃"", ""衬衣"", ""72号和9号哪个更甜？"", ""几号链接的瓜好吃""]"
douyin-train-000403,douyin,train,403,56697889278,生活日杂,看看衬衫,1,该用户想表达的含义是：让主播展示或详细介绍衬衫款式。,562,"[""没货了"", ""好看"", ""衬衣几号链接"", ""博洋几号更甜？"", ""主播最甜""]"
douyin-train-000412,douyin,train,412,56697889278,生活日杂,都甜,0,该用户是在询问主播当前展示的商品中哪一种口感更甜。,576,"[""没了没了没了"", ""保温杯看看"", ""拍不了"", ""没货了"", ""哪个更甜""]"
douyin-train-000602,douyin,train,602,56697889278,生活日杂,甜吗,1,该用户是在询问直播中展示的水果或甜食的口感是否足够甜。,845,"[""是新鲜的玉米吗？"", ""鲜花饼还上吗？"", ""我是重度玉米爱好者，宇辉家的玉米买过很多次了，都很好吃"", ""嫩吗？"", ""怎么购物车里没有牛肉了""]"
douyin-train-000704,douyin,train,704,56697889278,生活日杂,太快,1,该用户可能是在抱怨直播节奏过快，导致自己来不及看清或了解商品信息。,986,"[""大家加油点点赞 大家加油点点赞 大家加油点点赞 大家加油点点赞"", ""下次去哪里"", ""品质不错"", ""为什么你直播也和董一样口气"", ""贝贝南瓜好吃""]"
douyin-train-000706,douyin,train,706,56697889278,生活日杂,贝贝南瓜单果250g，五斤应该是在十个左右呀，怎么会是 4-8个呢？,0,该用户是在质疑主播关于贝贝南瓜数量的描述存在计算误差，认为五斤按单果重量推算应包含约10个而非主播宣称的4-8个，透露出对产品规格真实性的关注。,989,"[""为什么你直播也和董一样口气"", ""贝贝南瓜好吃"", ""太快"", ""南瓜好吃"", ""5斤有几个""]"
douyin-train-000809,douyin,train,809,56697889278,生活日杂,小贝衣服,1,该用户可能是在询问或提及主播“小贝”身上穿的衣服是否有购买链接或相关商品信息。,1131,"[""怎么小黄车里没有锅"", ""干煸豆角"", ""四季豆干煸，超好吃"", ""焖饭"", ""什么时候内蒙也能发货就好了，好多都拍不了""]"
douyin-train-000866,douyin,train,866,56697889278,生活日杂,大黄鱼好吃,1,该用户想表达的含义是：对直播中展示的大黄鱼产品表示认可并可能产生购买意向。  （结合前文弹幕中关于黄花鱼烹饪、新鲜度的讨论，以及“挺大一条”等对鱼品质的正面描述，可推断用户通过简短评价间接表达对商品的兴趣或认同。）,1210,"[""与辉同行值得信赖"", ""朋友们有空点赞点赞点赞点赞点赞"", ""鱼是新鲜的吗？"", ""中午好啊"", ""保温杯""]"
douyin-train-000886,douyin,train,886,56697889278,生活日杂,鲅鱼馅说说,1,该用户想询问直播中提到的鲅鱼馅产品的具体信息或特点。,1237,"[""小姐姐真漂亮"", ""咸鸭蛋"", ""黄花鱼好吃"", ""猪蹄啥时候有"", ""中午好""]"
