row_id,platform,split,source_index,live_id,species,content,label,official_background,all_sequence_index,context_json
douyin-train-000007,douyin,train,7,56697889278,生活日杂,鲜花饼还有么,1,该用户想询问直播间是否还有鲜花饼库存可供购买。,12,"[""安吉白茶什么时候有"", ""锅什么时候有"", ""什么时候还有铁锅"", ""风干牛肉干"", ""白白吉馍在几号链接""]"
douyin-train-000011,douyin,train,11,56697889278,生活日杂,教一下用券,0,该用户想表达的含义是：希望主播讲解如何使用优惠券来购买商品。,16,"[""白白吉馍在几号链接"", ""鲜花饼还有么"", ""有人参果吗"", ""婴儿能吃吗请问请问小婴儿能吃吗？"", ""百合有吗""]"
douyin-train-000020,douyin,train,20,56697889278,生活日杂,大气,0,该用户可能在夸赞主播或商品的风格高端、有档次。,29,"[""有带蘸料吗？"", ""感觉好好吃"", ""家电什么时候返场"", ""下一站去哪？"", ""防晒喷雾上点，防晒喷雾上点，防晒喷雾上点""]"
douyin-train-000079,douyin,train,79,56697889278,生活日杂,先泡还是先蒸容易炖烂吗,1,该用户是在询问烹饪某种食材（可能是鱼或肉类）时，采用先浸泡还是先蒸制的处理方式更容易使其炖煮软烂。,122,"[""与辉同行一路光明"", ""得利斯的肉肠什么时候还会有呀？"", ""产品问题请跟与辉同行的客服联系"", ""开袋即食可以吗亲？"", ""鲅鱼馅是开好价了吗""]"
douyin-train-000088,douyin,train,88,56697889278,生活日杂,中午好！,0,该用户可能是刚进入直播间，以问候的方式表示关注或参与互动。,133,"[""焯水吗"", ""产品有问题请先找商家售后，如果商家解决达不到您满意。可以再找与辉同行客服！"", ""可以放多久"", ""帅哥"", ""有没有蓝莓树苗""]"
douyin-train-000100,douyin,train,100,56697889278,生活日杂,你们辛苦了,0,该用户是在对主播团队的付出表示友善的慰问和鼓励。,150,"[""没吃过"", ""说的好详细"", ""中午好"", ""喜欢这个直播间"", ""宇辉同行一路光明""]"
douyin-train-000111,douyin,train,111,56697889278,生活日杂,什么馅的,1,该用户是在询问直播中展示的水饺具体有哪些馅料种类。,164,"[""传熙云南行唱了彩云之南"", ""这个馅不多见"", ""不是一袋十个吗"", ""一袋10个，一共40个"", ""一袋10 个不是40 个""]"
douyin-train-000122,douyin,train,122,56697889278,生活日杂,好吃吗,1,该用户想询问该款蒲公英水饺的实际口感如何，以评估是否符合自己的口味偏好。,182,"[""来了"", ""看着不错"", ""好吃么"", ""有其他馅的吗"", ""这个蒲公英水饺不常见，特别好吃""]"
douyin-train-000140,douyin,train,140,56697889278,生活日杂,烤箱能不能烤,1,该用户可能是在询问直播中展示的烤箱是否具备基本的烘焙功能，想确认产品实用性以便决定是否购买。,202,"[""中午好小贝"", ""中午好"", ""已下单1号商品"", ""帅哥靓妹"", ""熙宝 小贝中午好""]"
douyin-train-000141,douyin,train,141,56697889278,生活日杂,真懂,0,该用户想表达的含义是：主播对产品特点的介绍非常专业到位，让我产生了信任感。,204,"[""已下单1号商品"", ""帅哥靓妹"", ""熙宝 小贝中午好"", ""烤箱能不能烤"", ""现在发型好看""]"
