row_id,platform,split,source_index,live_id,species,content,label,official_background,all_sequence_index,context_json,prompt_version,prompt_hash,input_hash,qwen_background_structured,raw_response,structured_object,structured_act,structured_evidence,valid_structure,validation_error,label_like_output,generation_seconds,total_generation_seconds,prompt_tokens,generated_tokens,total_duration_ns,load_duration_ns,attempts,error
douyin-train-000020,douyin,train,20,56697889278,生活日杂,大气,0,该用户可能在夸赞主播或商品的风格高端、有档次。,29,"[""有带蘸料吗？"", ""感觉好好吃"", ""家电什么时候返场"", ""下一站去哪？"", ""防晒喷雾上点，防晒喷雾上点，防晒喷雾上点""]",structured_v2,2c31d137367e074da678322820bc0cb7e4a61260a1a2750074002667f52c46ee,64e4bf2c022635502634111dc11b2db91aae938a193b35642f63b1f0942cdb63,对象：未指明；言语行为：评价；原句证据：大气,对象：未指明；言语行为：评价；原句证据：大气,未指明,评价,大气,True,,False,0.8260852000094019,0.826087199995527,251,21,820755000,29448000,1,
douyin-train-000088,douyin,train,88,56697889278,生活日杂,中午好！,0,该用户可能是刚进入直播间，以问候的方式表示关注或参与互动。,133,"[""焯水吗"", ""产品有问题请先找商家售后，如果商家解决达不到您满意。可以再找与辉同行客服！"", ""可以放多久"", ""帅哥"", ""有没有蓝莓树苗""]",structured_v2,46507349087f0bde7a963adcccfd065e5b43e5c5357a3710faeebd5dbf868f9a,ae03a16e60c3e18765b75850932b05a50d97ba664af17e27fae1be4b9c051a72,对象：未指明；言语行为：问候；原句证据：中午好！,对象：未指明；言语行为：问候；原句证据：中午好！,未指明,问候,中午好！,True,,False,0.8282593000039924,0.8282606000138912,255,23,824905100,31173300,1,
douyin-train-000111,douyin,train,111,56697889278,生活日杂,什么馅的,1,该用户是在询问直播中展示的水饺具体有哪些馅料种类。,164,"[""传熙云南行唱了彩云之南"", ""这个馅不多见"", ""不是一袋十个吗"", ""一袋10个，一共40个"", ""一袋10 个不是40 个""]",structured_v2,35b1c501d9e28c9fb51a553e218060b1bfba8bb202b693eed96cbb00d8503735,3a5f976d285af090a1479a8a5261507148d791cc24c3170ef201bffec8563a75,对象：产品；言语行为：询问；原句证据：什么馅的,对象：产品；言语行为：询问；原句证据：什么馅的,产品,询问,什么馅的,True,,False,0.7117575999873225,0.7117597000033129,260,21,706631300,38930300,1,
douyin-train-000147,douyin,train,147,56697889278,生活日杂,跟你哥发型一样,0,该用户可能在表达对主播当前发型的认可，暗示与某个熟悉的人（如主播的哥哥）相似，从而传递一种亲切感或赞赏。,212,"[""熙宝今天发型很乖"", ""传熙太可爱了"", ""防晒喷雾，防晒喷雾，防晒喷雾"", ""我就是"", ""乘宝贝""]",structured_v2,b17ffdf734c072ae37eaef13ae024e1dd25bd063776c5dc561068dd55ab56ab2,037350a4dcbec2755c4781ca57977186220b1d57aa43eb27ed27c382a0c2070c,对象：熙宝；言语行为：比较；原句证据：跟你哥发型一样,对象：熙宝；言语行为：比较；原句证据：跟你哥发型一样,熙宝,比较,跟你哥发型一样,True,,False,0.7860810999991372,0.7860828000120819,247,23,783579900,17303900,1,
douyin-train-000222,douyin,train,222,56697889278,生活日杂,苹果烤奶的杯子在几号？,1,该用户想询问苹果烤奶配套的杯子商品在直播间的上架序号或购买链接位置。,318,"[""苹果烤奶有成品吗？"", ""贝贝，烤奶，空气炸锅烤多长时间？"", ""折耳根好吃的很呀"", ""这个苹果好吃"", ""折耳根太好吃""]",structured_v2,1b9dddb0005c09a6ba58a65869c30d4c906bdd543e205d02c554851c60aea6be,f46d4fb482016938efd0781c42f940b6e535e0c263a940a7f237ce8ce3e89639,对象：苹果烤奶；言语行为：询问；原句证据：苹果烤奶的杯子在几号？,对象：苹果烤奶；言语行为：询问；原句证据：苹果烤奶的杯子在几号？,苹果烤奶,询问,苹果烤奶的杯子在几号？,True,,False,1.036022399988724,1.03602420000243,258,29,1023951500,45468200,1,
douyin-train-000264,douyin,train,264,56697889278,生活日杂,内蒙古怎么不发,1,该用户可能在询问为何没有内蒙古地区的商品或物流配送选项。,371,"[""小果多大"", ""我也是湖北咸宁赤壁人"", ""小米是那种黄金小米吗？"", ""苹果没有了吗？"", ""中果没有了""]",structured_v2,c8cdde93253a49db40e83282c4771b9ae7c4b7962e824994c918f9118c27cd84,1a65f0ae4a3c88cb6ed34dd952975610fb1f341e51fd8baf3125e7193911b6fb,对象：内蒙古；言语行为：询问；原句证据：内蒙古怎么不发,对象：内蒙古；言语行为：询问；原句证据：内蒙古怎么不发,内蒙古,询问,内蒙古怎么不发,True,,False,0.8100370999891311,0.8100389000028372,246,22,788938100,42321700,1,
douyin-train-000274,douyin,train,274,56697889278,生活日杂,看看衣服后面,1,该用户想表达的含义是：希望主播展示一下衣服的背面细节。,381,"[""鲜花还有吗"", ""买了中果"", ""小果是哪个？"", ""大连拍不了"", ""没了""]",structured_v2,64f0a277084fbbeb141da8f952c2f096fd739aa4864d15cd845c82dffea40aa6,241b15ea9d5acc6ace367e611d747da49a79e955285878155369fa99abe380e6,对象：衣服；言语行为：查看；原句证据：看看衣服后面,对象：衣服；言语行为：查看；原句证据：看看衣服后面,衣服,查看,看看衣服后面,True,,False,0.7502761000068858,0.7502780000213534,234,21,747392600,24962500,1,
douyin-train-000306,douyin,train,306,56697889278,生活日杂,看一下小果,1,该用户想表达的含义是：请主播展示或详细介绍小规格的苹果产品。,427,"[""主播看一下烤奶，刚民吃的那个？"", ""没货"", ""中午好贝贝"", ""发什么快递"", ""小果也甜""]",structured_v2,3571443204572a44f6432f4b6edf4450e2d783705812352db173c93afcbb9459,325575b361da842a31e66b7af998cab316f64e2b7933ee9340a0a0cb86a5efc7,对象：小果；言语行为：查看；原句证据：看一下小果,对象：小果；言语行为：查看；原句证据：看一下小果,小果,查看,看一下小果,True,,False,0.7920738999964669,0.7920761000132188,242,22,789006000,35409200,1,
douyin-train-000377,douyin,train,377,56697889278,生活日杂,上一下核桃,1,该用户希望主播尽快上架或展示核桃商品以供购买。,526,"[""看一下衬衫"", ""我家猫也爱吃"", ""衬衣"", ""72号和9号哪个更甜？"", ""几号链接的瓜好吃""]",structured_v2,6cab91b8c7171df80b127090e518c17e1e44433f5d9c9861c59bf8e134e30297,3bd5cfdeed446f1112c186d2d073e97dc40398e19b14eb25412d0b7e99962b0f,对象：核桃；言语行为：上一下；原句证据：上一下核桃,对象：核桃；言语行为：上一下；原句证据：上一下核桃,核桃,上一下,上一下核桃,True,,False,0.8454962999967393,0.8454983000119682,243,22,841463300,34436200,1,
douyin-train-000403,douyin,train,403,56697889278,生活日杂,看看衬衫,1,该用户想表达的含义是：让主播展示或详细介绍衬衫款式。,562,"[""没货了"", ""好看"", ""衬衣几号链接"", ""博洋几号更甜？"", ""主播最甜""]",structured_v2,cd58fc5d2525797b0e72b04f92fe4fb3faaf0e843fbeb2ca55f671e26400de71,888643d26659f1a7816fdb43ac9fc101193453d8fd2a711f69bff1e321788886,对象：衬衫；言语行为：观看；原句证据：看看衬衫,对象：衬衫；言语行为：观看；原句证据：看看衬衫,衬衫,观看,看看衬衫,True,,False,0.7181931999803055,0.7181952999962959,237,20,714578800,28376900,1,
